feature_id,scope,module,category,feature_name,source_section,status,uat_status,ui_evidence,service_evidence,database_evidence,permission_evidence,test_evidence,primary_gap,secondary_gap,blocker_type,recommended_prompt_cluster,notes
SHARED-068,shared,Data Governance,Import,Import (CRM + 6 master-data resources),Part 21G,PARTIAL,LIMITED,/data-management,,,,,No import for 11 of 12 modules,,DATABASE,85,
SHARED-069,shared,Data Governance,Export,Export (CRM + master data + audit logs),Part 21G,PARTIAL,LIMITED,/data-management,,,,,Same 11-module gap as import,,REPORTING,85,
SHARED-070,shared,Data Governance,Bulk update,Bulk update (CRM + Sales only),Part 21G,PARTIAL,LIMITED,/data-management,,,,,10 modules have no bulk update,,DATABASE,85,
SHARED-071,shared,Data Governance,Duplicates,Duplicate management (CRM only),Part 21G,PARTIAL,LIMITED,,findCrmDuplicates() company-scoped,,,,Confirmed absent for every other module,,DATABASE,85,
SHARED-072,shared,Data Governance,Retention,Data retention/archiving,Part 21G,PARTIAL,LIMITED,/compliance/retention,,,,,CRM-only; other modules have no retention config,,DATABASE,86,
SHARED-073,shared,Data Governance,Soft delete,Soft delete,Part 21G,MISSING,READY,/compliance/data-governance,,no deleted_at columns anywhere,,,Deliberate status-based-lifecycle design choice - not an oversight,,PRODUCT_DECISION,n/a,Reframed, not penalized
SHARED-074,shared,Data Governance,Audit,Audit logs (immutable),Part 21G,COMPLETE,READY,/audit-logs,,,,,,,,n/a,
SHARED-075,shared,Data Governance,Compliance,Compliance inventory workspace,Part 21G,COMPLETE,READY,/compliance,,,,,,,,n/a,
SHARED-076,shared,Data Governance,Classification,Data classification/sensitivity,Part 21G,COMPLETE,LIMITED,,field-visibility.js,,,,Only 3 specific field sets across 3 modules,,,n/a,
SHARED-077,shared,Data Governance,DR,Backup/restore/DR posture,Part 21G,UNVERIFIED,NOT_READY,,,,,,"Not evidenced in application code - likely infra-layer only, cannot confirm from repo alone",,PRODUCT_DECISION,93,
SHARED-078,shared,Data Governance,Migrations,Schema/migration governance,Part 21G,COMPLETE,READY,,,45+ RLS-enabled sequential migrations,,,One pre-existing duplicate-migration-prefix warning (039_*),,DATABASE,91,
